Supplementary Data 1. Gene expression in each cluster within cells expressing CD8A,,,,,,
TIMP1,8.3980214061825e-13,0.418453573,0.254,0.237,1.41095157645272e-08,8
CD72,1.86911794063192e-12,0.466115245,0.432,0.422,3.14030505205569e-08,8
HIST1H1D,2.57361590727328e-12,0.367974727,0.301,0.303,4.32393208580985e-08,8
LEPROTL11,5.35357053517315e-12,0.273492315,0.243,0.265,8.9945338561444e-08,8
RPLP01,5.58560292340833e-12,0.573864136,0.96,0.979,9.38437147161834e-08,8
RPL32,3.02749372577055e-11,0.509226183,0.996,0.998,5.0864922086671e-07,8
RPS8,3.78830906976371e-11,0.556953113,0.993,0.998,6.36473806811001e-07,8
SNHG5,9.22929390952456e-11,0.273574123,0.245,0.267,1.55061366973922e-06,8
RPL12,2.69828621653641e-09,0.481553032,0.989,0.995,4.53339067240283e-05,8
RPL81,4.21662245094519e-07,0.485892602,0.969,0.987,0.007084347,8
RPS3A,4.55626520106908e-07,0.312716614,0.973,0.996,0.007654981,8
RPS25,8.91329713212744e-07,0.284264669,0.962,0.992,0.014975231,8
GZMK1,3.27150188714268e-224,2.463110786,0.949,0.123,5.49645032058842e-220,9
SLC4A10,6.65316450671542e-163,1.154809157,0.364,0.001,1.11779816877326e-158,9
IL7R3,5.87615316580495e-150,2.036740566,0.976,0.368,9.87252493386889e-146,9
CEBPD,3.42760170992871e-144,1.712106076,0.614,0.084,5.75871363285122e-140,9
LTB2,1.47463691638805e-141,2.264711096,0.848,0.139,2.47753748322357e-137,9
PHACTR2,1.26249958709379e-110,1.343433397,0.5,0.051,2.12112555627628e-106,9
KLRB11,4.98146721113944e-110,1.217710554,0.755,0.28,8.36936306143538e-106,9
AQP3,1.01864647819943e-77,1.096471353,0.436,0.057,1.71142794802286e-73,9
DPP4,7.39409392661443e-68,0.831418592,0.287,0.014,1.24228172061049e-63,9
IL18RAP,2.20090248817759e-65,0.77388642,0.266,0.017,3.69773627038717e-61,9
NCR3,7.62432250611508e-62,0.906992561,0.324,0.04,1.28096242425239e-57,9
DUSP12,4.45875968811274e-61,1.066109892,0.965,0.746,7.49116215199821e-57,9
FOS3,4.90920438948197e-58,1.31813057,0.918,0.646,8.24795429476866e-54,9
SATB1,1.91082010109336e-48,0.849181878,0.407,0.095,3.21036885184695e-44,9
CD692,5.70033315854033e-48,1.040378115,0.793,0.423,9.57712973966361e-44,9
DUSP23,5.15921441765885e-45,1.205152395,0.809,0.449,8.66799614310863e-41,9
JAML,2.54012733445282e-41,0.696929357,0.261,0.037,4.26766793461419e-37,9
EEF1A12,2.06476562924964e-39,0.549497211,0.997,0.999,3.46901273370233e-35,9
ALOX5AP,9.24664021851574e-39,0.394377297,0.726,0.432,1.55352802311283e-34,9
CNN23,1.55964661557888e-38,0.694581787,0.822,0.514,2.62036227883408e-34,9
NFKBIA3,1.63031716455531e-38,1.014160212,0.806,0.58,2.73909586816938e-34,9
PABPC12,2.09871971153613e-38,0.669786737,0.941,0.771,3.52605898735186e-34,9
CMC12,2.13682571558167e-38,0.978949818,0.574,0.211,3.59008088474876e-34,9
TMEM14C,8.44698375895666e-38,0.707934353,0.266,0.032,1.41917774134231e-33,9
TCF72,8.41338827253146e-37,0.872033596,0.463,0.116,1.41353336366801e-32,9
KLRG1,1.99310837552526e-36,0.639555617,0.745,0.454,3.34862138171999e-32,9
PDCD41,2.37409151186729e-35,0.55574737,0.5,0.229,3.98871114908824e-31,9
ZFP36L23,8.70227535353758e-35,0.66257545,0.926,0.753,1.46206928214785e-30,9
RPLP02,2.78497871318312e-34,0.754139875,0.997,0.977,4.67904273601896e-30,9
ARHGAP152,1.13657186550746e-33,0.444416287,0.513,0.252,1.90955439123908e-29,9
NFKBIZ1,7.74993822010309e-33,0.675646872,0.356,0.105,1.30206712035952e-28,9
TNFAIP33,1.38427808916971e-32,0.803967227,0.811,0.581,2.32572561761403e-28,9
TRAT1,3.29365741069705e-32,0.460411268,0.25,0.06,5.53367381571211e-28,9
SH2D1A1,5.75492796671644e-32,0.253174226,0.415,0.219,9.66885447688029e-28,9
TC2N1,6.41082297624219e-32,0.569211487,0.497,0.224,1.07708236823845e-27,9
ERN1,2.83127624094496e-31,0.47754671,0.551,0.293,4.75682721241163e-27,9
GPR651,1.03256421947835e-30,0.582007161,0.447,0.21,1.73481114514558e-26,9
CD73,3.48052915518648e-30,0.727535323,0.763,0.408,5.8476370336288e-26,9
CD551,4.58306156269071e-30,0.577096388,0.362,0.122,7.70000173147666e-26,9
ODF2L,4.96007152653404e-30,0.55572179,0.354,0.13,8.33341617172985e-26,9
FKBP11,7.53046442135642e-30,0.397269635,0.553,0.31,1.26519332743209e-25,9
GYG1,8.97700708801192e-30,0.392417931,0.309,0.135,1.50822696085688e-25,9
GRAMD1A1,9.32721180042549e-30,0.576262169,0.346,0.11,1.56706485458949e-25,9
G3BP2,1.55842750775474e-29,0.263358749,0.457,0.272,2.61831405577873e-25,9
FLT3LG2,2.15511189732967e-29,0.610208089,0.545,0.248,3.62080349870357e-25,9
CBLB1,3.166051219136e-29,0.395294875,0.434,0.218,5.3192826532704e-25,9
YWHAH,4.53488012266583e-29,0.271117515,0.322,0.164,7.61905209409086e-25,9
TMEM2381,5.83503461649639e-29,0.510753261,0.37,0.137,9.80344165917559e-25,9
GBP5,6.93774330524161e-29,0.38759945,0.582,0.359,1.16561025271364e-24,9
SPOCK21,1.70947537726632e-28,0.354643633,0.734,0.5,2.87208958134514e-24,9
CKLF1,2.53717048459103e-28,0.455201993,0.521,0.276,4.26270013116138e-24,9
PAG1,8.16072577533291e-28,0.547897723,0.279,0.083,1.37108353751368e-23,9
EIF3L,1.0040694600849e-27,0.384446481,0.715,0.458,1.68693709988864e-23,9
MT-ND23,1.13874160135247e-27,0.568476426,0.971,0.861,1.91319976443229e-23,9
NIN1,1.42873702403336e-27,0.381788962,0.33,0.137,2.40042107407845e-23,9
PBXIP12,9.75188921136503e-27,0.575767747,0.521,0.258,1.63841490640144e-22,9
INTS62,1.17169428514783e-26,0.341671717,0.332,0.171,1.96856356847687e-22,9
NEK7,2.16275622623688e-26,0.298132641,0.258,0.111,3.63364673570058e-22,9
METTL9,2.27371089823233e-26,0.251554274,0.378,0.216,3.82006168012013e-22,9
CCNL11,2.68719856794411e-26,0.288399521,0.657,0.44,4.5147623140029e-22,9
MYBL12,4.16696923910252e-26,0.345115162,0.67,0.444,7.00092501861615e-22,9
TTC39C,4.49637480240887e-26,0.471158717,0.452,0.223,7.55435930552714e-22,9
LAG3,1.22852237922517e-25,0.335895253,0.324,0.155,2.0640404493362e-21,9
JUN3,1.29375481126416e-25,0.96966171,0.843,0.671,2.17363745840492e-21,9
RPL22L1,1.60182653331413e-25,0.41203188,0.553,0.323,2.69122875862107e-21,9
CD96,1.73824594789618e-25,0.279311351,0.463,0.272,2.92042701706037e-21,9
TMEM1232,2.10956298771766e-25,0.334563881,0.434,0.227,3.54427677566444e-21,9
ATF7IP2,2.26060872213454e-25,0.573449521,0.309,0.1,3.79804871405824e-21,9
RGS14,8.13494140765359e-25,0.255453406,0.322,0.169,1.36675150589988e-20,9
CDC14A,9.76510407725155e-25,0.405572756,0.261,0.092,1.64063513601903e-20,9
GAS52,1.13790054839004e-24,0.755124975,0.763,0.426,1.9117867113501e-20,9
LEPROTL12,1.3626091863292e-24,0.494827231,0.492,0.254,2.28931969395169e-20,9
DDIT42,1.64378687399119e-24,0.399751743,0.42,0.243,2.76172632699259e-20,9
EEF21,2.72660063387917e-24,0.472166589,0.981,0.902,4.58096172498039e-20,9
PLCB1,3.42202092162477e-24,0.387460787,0.285,0.115,5.74933735042178e-20,9
GRK61,3.86376847816764e-24,0.351967059,0.455,0.261,6.49151742016946e-20,9
EML41,7.31160608412672e-24,0.497749974,0.604,0.357,1.22842293819413e-19,9
LYSMD2,1.12404833784916e-23,0.258973544,0.258,0.125,1.88851361242037e-19,9
EIF3G,2.27512282686997e-23,0.261253122,0.731,0.523,3.82243386142423e-19,9
ABRACL,3.68693206601479e-23,0.252631457,0.423,0.25,6.19441456411145e-19,9
TMEM14B1,4.3697359321286e-23,0.292024274,0.386,0.207,7.34159333956926e-19,9
XBP11,7.63384602463703e-23,0.334192225,0.537,0.344,1.28256247059927e-18,9
OCIAD21,9.08143154859513e-23,0.270919117,0.367,0.203,1.52577131447947e-18,9
CXCR42,9.31797523081951e-23,0.595043051,0.809,0.533,1.56551301852999e-18,9
PLCG1,9.40747196932439e-23,0.289231389,0.261,0.122,1.58054936556619e-18,9
MYLIP1,1.03742235161058e-22,0.261069892,0.332,0.181,1.74297329294093e-18,9
NUCB21,1.94456225554753e-22,0.294426849,0.428,0.246,3.26705904554541e-18,9
ANTKMT1,2.69838327965587e-22,0.295819294,0.29,0.138,4.53355374814982e-18,9
HSP90AB11,3.36446208437431e-22,0.406697827,0.891,0.702,5.65263274795728e-18,9
RBL21,3.55298651558684e-22,0.33565993,0.633,0.44,5.96937264483745e-18,9
ZFP363,6.19852151993064e-22,0.52634829,0.859,0.65,1.04141360056355e-17,9
PPP1R14B,7.48796424285039e-22,0.366546336,0.253,0.092,1.25805287244129e-17,9
CD271,9.25046584227243e-22,0.649998485,0.301,0.069,1.55417076616019e-17,9
SERP1,1.0565481752836e-21,0.434197462,0.691,0.451,1.77510658929398e-17,9
EIF2S31,1.07987972935317e-21,0.273163505,0.444,0.272,1.81430593328627e-17,9
PIM2,1.09420410172684e-21,0.370139373,0.293,0.135,1.83837231131126e-17,9
TNFAIP8,1.20602568114596e-21,0.306875715,0.444,0.258,2.02624374689333e-17,9
RPL131,2.10713814927742e-21,0.518202656,0.997,0.999,3.54020280460099e-17,9
SNHG161,2.34925935295782e-21,0.386365317,0.407,0.214,3.94699063890443e-17,9
CERK,2.4041862921111e-21,0.259901297,0.378,0.217,4.03927338937585e-17,9
PPP1R15A3,2.67524271794496e-21,0.356676264,0.723,0.511,4.49467529041933e-17,9
CHD9,2.93046523017366e-21,0.344090452,0.266,0.116,4.92347463321477e-17,9
PTMS,3.22394716931637e-21,0.319094956,0.266,0.12,5.41655363916844e-17,9
EIF3E1,4.03741197224257e-21,0.397643826,0.636,0.402,6.78325585456475e-17,9
SNHG32,6.39025350689783e-21,0.368086647,0.277,0.112,1.0736264916939e-16,9
BTG12,6.6283793874264e-21,0.387646905,0.971,0.865,1.11363402088151e-16,9
PDE4B,6.91541620310365e-21,0.420644243,0.25,0.085,1.16185907628344e-16,9
RPS132,9.68738156218276e-21,0.58071316,0.995,0.985,1.62757697626233e-16,9
PTGER2,1.07920800815792e-20,0.335489955,0.423,0.252,1.81317737450613e-16,9
PARP81,1.08209948728982e-20,0.332694622,0.527,0.331,1.81803534859563e-16,9
GDI1,1.20357163187252e-20,0.340896225,0.351,0.2,2.02212069870901e-16,9
AC020916.12,1.2544078957162e-20,0.274042331,0.322,0.186,2.10753070559279e-16,9
IER51,2.93595375202583e-20,0.327831151,0.266,0.129,4.9326958987786e-16,9
KCNA31,4.97463333332814e-20,0.285616062,0.319,0.172,8.35788146332461e-16,9
RPL82,6.23549759309747e-20,0.584908126,0.992,0.985,1.04762595061631e-15,9
C1QBP,6.87252880698093e-20,0.314955221,0.42,0.249,1.15465356486087e-15,9
PDE4D,7.36868832749444e-20,0.418718154,0.298,0.127,1.23801332590234e-15,9
NOSIP2,7.96429167788437e-20,0.535142755,0.463,0.242,1.33808064480135e-15,9
FOSB3,1.48356297030535e-19,0.53361213,0.473,0.284,2.49253414641001e-15,9
RPS6KA31,1.93380513509226e-19,0.339905908,0.29,0.139,3.2489860074685e-15,9
CSRNP12,2.092507992786e-19,0.337526092,0.255,0.111,3.51562267867975e-15,9
JUND4,2.81299242249317e-19,0.289109982,0.809,0.666,4.72610856903078e-15,9
LYAR2,3.01231020977988e-19,0.463342981,0.572,0.358,5.06098238345118e-15,9
TENT5C2,3.97328661306515e-19,0.307864166,0.335,0.166,6.67551883861076e-15,9
PPA1,4.44772406766382e-19,0.266445504,0.29,0.149,7.47262120608199e-15,9
NINJ1,4.85698321706771e-19,0.288934375,0.25,0.111,8.16021750299545e-15,9
PLP21,5.50722995657007e-19,0.401108852,0.343,0.149,9.25269705003337e-15,9
OXNAD1,1.23141253056207e-18,0.36753227,0.29,0.12,2.06889619259734e-14,9
AL138963.41,2.69712134794035e-18,0.413323391,0.585,0.378,4.53143357667458e-14,9
CUTA,3.31701707104098e-18,0.395375435,0.66,0.435,5.57292038105595e-14,9
CD441,7.30036511418895e-18,0.340970269,0.66,0.464,1.22653434283489e-13,9
ACAP12,9.10674866571912e-18,0.258042438,0.561,0.386,1.53002484332747e-13,9
PIM1,1.61203601592675e-17,0.416583591,0.452,0.288,2.70838171035854e-13,9
SNHG82,1.68364840904837e-17,0.403169465,0.529,0.309,2.82869769204217e-13,9
RPLP12,1.76614210412112e-17,0.577729882,0.997,0.998,2.96729534913389e-13,9
CAMK42,3.4432435317939e-17,0.454482365,0.372,0.166,5.78499345776692e-13,9
CHCHD10,4.11222438922281e-17,0.261513708,0.38,0.222,6.90894819633324e-13,9
EIF4A11,4.77933618196041e-17,0.305827791,0.715,0.558,8.02976271931168e-13,9
NR1D2,4.97850329154672e-17,0.272066886,0.274,0.156,8.36438338012764e-13,9
RPS52,6.56213148848976e-17,0.572047518,0.997,0.968,1.10250371138116e-12,9
RSL1D11,1.22837720096296e-16,0.346705213,0.5,0.306,2.06379653533787e-12,9
ABLIM11,1.58044657729492e-16,0.404381351,0.293,0.123,2.65530829451319e-12,9
EEF1G1,3.47675546230271e-16,0.571624691,0.976,0.873,5.84129685221479e-12,9
IER23,4.637282041186e-16,0.28075543,0.747,0.601,7.79109755739659e-12,9
MYADM2,6.62454931004338e-16,0.31657596,0.38,0.237,1.11299052958039e-11,9
RPL171,7.99836257071271e-16,0.491136576,0.992,0.977,1.34380489550544e-11,9
VIM3,1.70005754053852e-15,0.457339431,0.918,0.762,2.85626667385877e-11,9
TPT11,1.76226462685068e-15,0.568371473,0.997,0.997,2.96078079957182e-11,9
NPM11,1.04888050006454e-14,0.417134626,0.91,0.754,1.76222412815843e-10,9
ISG202,1.25984265750037e-14,0.265691363,0.495,0.327,2.11666164886638e-10,9
RPS171,2.85641316579406e-14,0.320014286,0.739,0.537,4.7990597598506e-10,9
COX7C,9.44207895999075e-14,0.307032776,0.91,0.745,1.58636368606805e-09,9
BTG23,1.2697438270843e-13,0.337600575,0.479,0.325,2.13329660388434e-09,9
ZFAS1,1.92631159211695e-13,0.314122818,0.676,0.479,3.23639610591569e-09,9
EEF1B21,2.01956397748692e-13,0.538705661,0.987,0.926,3.39306943857577e-09,9
JUNB3,2.36711811844762e-13,0.393926202,0.907,0.758,3.97699515080385e-09,9
RPL321,2.96170136915483e-13,0.472305039,0.997,0.998,4.97595447031703e-09,9
NME21,9.67907692136339e-13,0.458170431,0.758,0.546,1.62618171355826e-08,9
RPS2,9.85155143818619e-12,0.432706876,0.997,0.993,1.65515915712966e-07,9
RPL51,1.5529315989748e-11,0.522738991,0.989,0.972,2.60908037943757e-07,9
GATA31,3.13129719817984e-11,0.318538646,0.311,0.181,5.26089242266195e-07,9
HINT12,3.98802130144597e-11,0.445668037,0.88,0.705,6.70027458855938e-07,9
RPSA,8.19737991694217e-11,0.505935901,0.987,0.958,1.37724179984545e-06,9
SNHG291,8.85361609266888e-11,0.499019498,0.878,0.679,1.4874960397293e-06,9
RPL91,9.8361435052523e-11,0.444963147,0.984,0.962,1.65257047031744e-06,9
RPL121,1.50782907423251e-10,0.445572116,0.997,0.995,2.53330362761805e-06,9
RPL18A,6.37966632899145e-10,0.443893105,1,0.997,1.07184773993385e-05,9
MT-ND12,3.73087514673782e-09,0.395718386,0.963,0.889,6.26824333403421e-05,9
RPS121,1.57990367287935e-08,0.478730312,0.997,0.999,0.00026544,9
RPL10,1.57483073753005e-07,0.418025854,1,0.998,0.002645873,9
MIF1,1.68937751877921e-07,0.300675414,0.862,0.731,0.002838323,9
RPL41,2.40200575272962e-07,0.435966233,0.979,0.905,0.00403561,9
RPL15,5.38433444753894e-07,0.39188527,0.995,0.97,0.00904622,9
RPL181,5.87845003171121e-07,0.411985924,0.992,0.99,0.009876384,9
RPS4Y1,9.56042852515501e-07,0.305562324,0.947,0.838,0.016062476,9
AL627171.21,0,4.519932071,1,0.328,0,10
GPX41,9.61039960798536e-23,0.303553647,0.303,0.418,1.61464323813762e-18,10
RMRP,6.23175318076008e-21,1.314303041,0.361,0.116,1.0469968518995e-16,10
ATP6AP2,3.08905620756211e-18,0.287560649,0.19,0.254,5.18992333432511e-14,10
TMEM219,4.94434358751857e-18,0.315876039,0.226,0.304,8.30699166138995e-14,10
AHNAK1,1.83299681027457e-17,0.44883245,0.715,0.782,3.0796179409423e-13,10
IK,6.23082924948377e-16,0.284997274,0.259,0.35,1.04684162220577e-11,10
MT-ND51,1.23905001071265e-15,0.499577053,0.843,0.892,2.08172792299832e-11,10
RPS172,1.43098304035651e-15,0.366435353,0.456,0.547,2.40419460610298e-11,10
POLR2L,5.16181015041601e-14,0.259803259,0.369,0.473,8.67235723371393e-10,10
MT-ND62,6.95051363678091e-14,0.686948717,0.595,0.549,1.16775579611556e-09,10
REX1BD,7.89988534588974e-14,0.348502953,0.336,0.405,1.32725973696293e-09,10
MT-ATP8,1.20809507509531e-13,0.584474082,0.719,0.713,2.02972053566762e-09,10
HNRNPM,1.70669620048962e-13,0.265742573,0.248,0.325,2.86742028644261e-09,10
FXYD52,2.30269097855694e-13,0.324645856,0.682,0.78,3.86875111307352e-09,10
SELENOK,8.3347307058314e-13,0.297443332,0.277,0.339,1.40031810588673e-08,10
ETS13,1.5512386990433e-12,0.496331694,0.602,0.618,2.60623613826265e-08,10
MT-ND13,5.50959893545616e-12,0.380482497,0.828,0.894,9.2566771714599e-08,10
TMOD3,6.66479415793025e-12,0.253062589,0.193,0.261,1.11975206647386e-07,10
AL138963.42,2.89271889634588e-11,0.406458811,0.332,0.388,4.86005701775071e-07,10
RPS29,3.05113255576334e-11,0.400631021,0.923,0.957,5.12620780693798e-07,10
RPL13A1,1.71913283985403e-10,0.27546074,0.818,0.901,2.88831508423876e-06,10
MT-ND4L,1.96694060077825e-10,0.366590548,0.865,0.926,3.30465690336754e-06,10
RPL37A1,7.57114862807394e-10,0.250974894,0.883,0.949,1.2720286810027e-05,10
RPS27,1.41165488005582e-09,0.327197941,1,0.999,2.37172136398178e-05,10
MT-ND4,2.21011228891192e-09,0.310989631,0.799,0.869,3.71320965660092e-05,10
MT-ND31,6.65897800678416e-09,0.485127362,0.92,0.947,0.000111877,10
TSC22D32,8.33839985443915e-09,0.324352335,0.818,0.859,0.000140093,10
PRDM1,5.38731847415658e-08,0.306702826,0.219,0.251,0.000905123,10
ACTN41,6.16682267102686e-08,0.317129446,0.339,0.376,0.001036088,10
HIST1H1E1,7.54820597359524e-08,0.490376682,0.628,0.628,0.001268174,10
RPS261,1.24192383623528e-06,0.275873004,1,0.998,0.020865562,10
CD741,1.84178634688602e-138,1.811734405,0.995,0.762,3.0943852414032e-134,11
HLA-DRA,2.77170169842629e-115,2.142489446,0.651,0.048,4.656736023526e-111,11
HLA-DRB11,6.22870403497621e-94,1.800464233,0.856,0.307,1.04648456491635e-89,11
HLA-DRB5,3.98890315418303e-28,1.00221982,0.39,0.087,6.7017561893429e-24,11
HLA-DPB1,7.79983846195904e-26,0.831005343,0.856,0.603,1.31045085999374e-21,11
CCL5,7.56411203563404e-24,0.54616528,1,0.972,1.27084646310688e-19,11
HLA-DPA1,4.48201276832802e-18,0.746268489,0.805,0.556,7.53022965206791e-14,11
LINC02446,1.88240777580196e-14,0.939187203,0.349,0.12,3.16263330412487e-10,11
COTL13,5.22495364781955e-09,0.621381266,0.544,0.337,8.77844462370162e-05,11
S100B,9.41334169983979e-165,3.126372161,0.992,0.058,1.58153553899008e-160,12
RAP1B1,3.78160914405942e-09,0.528941694,0.919,0.681,6.35348152293423e-05,12
FGFBP23,9.29739444335960e-09,0.308172233,0.992,0.8,0.000156206,12
CD521,1.32992566318904e-08,0.371986119,1,0.924,0.000223441,12
FCGR3A1,1.25607356034659e-06,0.453908625,0.642,0.374,0.021103292,12
SPON23,1.54771805942717e-06,0.501801224,0.821,0.576,0.026003211,12
GZMH3,2.05373115252148e-06,0.339048164,0.992,0.886,0.034504737,12
HIST1H1E2,6.84974326239089e-10,1.438874335,0.966,0.627,1.15082536551429e-05,13
